epoch,accuracy,loss,val_accuracy,val_loss
0,0.36285635828971863,1.3296103477478027,0.40345820784568787,1.298799753189087
1,0.6280099749565125,1.0084930658340454,0.6426513195037842,0.9614139199256897
2,0.7857735753059387,0.5961113572120667,0.6945244669914246,0.8042010068893433
3,0.845557689666748,0.4223150610923767,0.6887608170509338,0.8174391984939575
4,0.8884583711624146,0.33671945333480835,0.6541786789894104,0.8766270279884338
5,0.9031276106834412,0.28481048345565796,0.680115282535553,0.8714039325714111
6,0.9230556488037109,0.22800585627555847,0.6685879230499268,0.9398208260536194
7,0.9391087889671326,0.19340389966964722,0.680115282535553,0.9887393712997437
8,0.948519229888916,0.16643887758255005,0.6772334575653076,1.0403391122817993
9,0.9587600231170654,0.1435559242963791,0.6887608170509338,1.1009838581085205
10,0.9623581767082214,0.12366322427988052,0.680115282535553,1.1784212589263916
11,0.9681705236434937,0.11450866609811783,0.680115282535553,1.177406907081604
12,0.9667866230010986,0.10827529430389404,0.6743515729904175,1.2640678882598877
13,0.9684472680091858,0.09651698172092438,0.6772334575653076,1.2776902914047241
14,0.9725989699363708,0.08997786790132523,0.6657060384750366,1.327138900756836
15,0.9725989699363708,0.08820150047540665,0.6714697480201721,1.3578921556472778
16,0.9739828109741211,0.0801801010966301,0.6628242135047913,1.4037883281707764
17,0.9731525182723999,0.08715375512838364,0.6570605039596558,1.414330005645752
18,0.9745364189147949,0.07719705253839493,0.6714697480201721,1.4163984060287476
19,0.977027416229248,0.07868094742298126,0.6541786789894104,1.45199716091156
20,0.976473867893219,0.07268330454826355,0.6772334575653076,1.4941458702087402
21,0.9773041605949402,0.06315391510725021,0.6657060384750366,1.4829474687576294
22,0.976473867893219,0.07286930084228516,0.6657060384750366,1.5192028284072876
23,0.9753667116165161,0.067511647939682,0.6743515729904175,1.5326224565505981
24,0.9781345129013062,0.059340011328458786,0.6628242135047913,1.5962084531784058
